smnno,first_month,amount,second_month,amount,third_month,amount 
SP0201,OCT,106877,NOV,106877,DEC,106877
SP0202,OCT,84913,NOV,84913,DEC,84913
SP0205,OCT,25967,NOV,25967,DEC,25967
SP0207,OCT,59700,NOV,59700,DEC,59700
SP0208,OCT,6000,NOV,6000,DEC,6000
SP0210,OCT,48651,NOV,48651,DEC,48651
SP0213,OCT,57980,NOV,57980,DEC,57980
SP0214,OCT,5000,NOV,5000,DEC,5000
SP0220,OCT,37500,NOV,37500,DEC,37500
SP0221,OCT,76657,NOV,76657,DEC,76657
SP0222,OCT,77157,NOV,77157,DEC,77157
SP0225,OCT,20000,NOV,20000,DEC,20000
SP0226,OCT,19509,NOV,19509,DEC,19509
SP0227,OCT,25834,NOV,25834,DEC,25834
SP0228,OCT,37394,NOV,37394,DEC,37394
SP0229,OCT,66434,NOV,66434,DEC,66434
SP0230,OCT,5000,NOV,5000,DEC,5000
SP0231,OCT,83042,NOV,83042,DEC,83042
SP0232,OCT,28250,NOV,28250,DEC,28250
SP0234,OCT,161241,NOV,161241,DEC,161241
SP0237,OCT,70011,NOV,70011,DEC,70011
SP0239,OCT,21667,NOV,21667,DEC,21667
SP0241,OCT,20000,NOV,20000,DEC,20000
SP0243,OCT,37125,NOV,37125,DEC,37125
SP0245,OCT,106450,NOV,106450,DEC,106450
SP0249,OCT,32959,NOV,32959,DEC,32959
SP0250,OCT,5000,NOV,5000,DEC,5000
SP0251,OCT,18534,NOV,18534,DEC,18534
SP0254,OCT,15000,NOV,15000,DEC,15000
SP0258,OCT,10000,NOV,10000,DEC,10000
SP0260,OCT,10000,NOV,10000,DEC,10000
SP0262,OCT,10000,NOV,10000,DEC,10000
SP0265,OCT,33967,NOV,33967,DEC,33967
SP0267,OCT,5000,NOV,5000,DEC,5000
SP0270,OCT,5000,NOV,5000,DEC,5000
SP0271,OCT,10000,NOV,10000,DEC,10000
SP0272,OCT,40000,NOV,40000,DEC,40000
SP0273,OCT,30000,NOV,30000,DEC,30000
SP0274,OCT,51667,NOV,51667,DEC,51667
SP0276,OCT,10000,NOV,10000,DEC,10000
SP0277,OCT,5000,NOV,5000,DEC,5000
SP0279,OCT,70699,NOV,70699,DEC,70699
SP0282,OCT,38334,NOV,38334,DEC,38334
SP0283,OCT,10000,NOV,10000,DEC,10000
SP0286,OCT,20000,NOV,20000,DEC,20000
